id	sent0	label
2889	 Dialog delevery shariyayilla.....act super aayirikkum mass lalettan	Mixed_feelings 
3049	 oronnu padam pidikan irangum..paisa poyathinte  deshyam kondanu ivide trailer thappipidichu comment cheyyunnnathu..arum kanallu .. thank me later	Negative 
3160	 Dislike adikkunnavar trailer kaanathe dislike adikkan mathram vannavar..	Negative 
1582	 Also hats off Depak Dev bgm	not-malayalam 
3639	 Ittychante Vakka Oru Simple Vedikatte  Ufff  Adi Makkale Like	unknown_state 
1450	 Katta Dileep Ettan Fans um Ee Movie vijayikyum ennu ullavar Adi like	unknown_state 
6321	Trailer veeddu veeddum kaanunnavar iddaggil like adi	unknown_state
5484	Adipoli... Kidu kidu kidu... First day first show... #mammookka	Positive
5341	 Mamooka fans like adikan ula place	unknown_state 
4206	 Adipoli set move ayirikum .....a10 thagarkum	Positive
2931	 Id kanditt bestt actor movie ormma vanna arenkilum undoo	unknown_state 
1936	 Ithrayadhikam dislikes...... really ashaming... vallathoru manass	Negative 
3900	 Pokkiraja pole full masa entertainment allann thonunnu..nallaru storyum ullath pole 🥰	Positive
2407	 Trending 1 just 5 hours	not-malayalam 
2920	 Oru KGF manakunundo...   Alla KGF ne thakarkkunna oru Mass item manakunund...	Positive
3579	 Ithu award padam aano full slow aanallo	Negative 
5340	 Ithinte munnil Paavam madhuraraja entu aakumo ento... Mikkavarum sugar koodi chaakum madhura-raja ... Paavam mammunni...	Negative 
4371	 Above 250 cr collection kittum ennullavar ivide come on	Positive
4092	 Lalettan fan but aa lastle chadeet oru pedayille polichuuu	Positive
3511	 0:49 il varunna acress ine ethoo cinema yil kanda orma.. ethayirunnu?🤔	unknown_state 
2062	 കുരു കുറെ എണ്ണത്തിനു പൊട്ടുനീണ്ടു  ...trailer upload avunathinu munbe thane 3k+ dislike ayiii....Ntha cheyale rodhanam	Negative 
5754	Bgm kollaam but Cia bgm pole ind	Mixed_feelings
1756	 athoru valiya kadhayaa monee . paranju thudagiyaa......................super dialogue	Positive
1085	 Hindi movie Newton inte vere version aano 🤔🤔.	Mixed_feelings 
6525	Oru mass +class padam anu eenu ourapichu	Positive
5128	 Trailer kaanum mumb like adichath aaroke???	unknown_state 
5807	Jai jai jai lalettan ki jai	Positive
6582	Koora Trailer iyalkku ee pani nirthi pokkode	Negative
5287	 Ouru twist manslayi raja elextionu nikkum ..... Opposite to dady Girija	unknown_state 
1046	 Adi poli ini relees aayal mathi	Positive
4397	 81 k views 141 k like🤔🤔🤔	unknown_state 
4838	 Moopar ottakka vannad... ottak thanne kond povum.... Raja	Positive
3903	 Mammooty last 15mnt ulu e filmil	unknown_state 
6219	Haters dislike ... Paavo ithrakkum pediyaano oru padavam verunne... Kaishttam haters🤣	Negative
390	 kidu  katta waiting    mamamookkaaaa	Positive
2611	 last le aa idi ntammooo Range saanam	Positive
6248	I'm from Bengaluru	unknown_state
1177	 Superb Laletta .....Love you lotsssss......Othiri ishtam Lalettane	Positive
1459	 Minimum 3 Thavana kanathathayi arum kanilla....	Positive
6738	Kanditt Amala Paul Aadai tamil mattoru version aanu ennu thonnunu	unknown_state
900	 Ee cinema ethayalum mammukaude blockbuster movie ayyirikum.100%	Positive
5338	 redy ayikko makkalee.. vedikettinu thiri koluthi..	Positive
3136	 Newton enna hindi cinema orma varunnu	Mixed_feelings 
3849	 Oru kannu adachu pidichittu aduth vechonnu kandunokkike	unknown_state 
5573	Fans show ticket kittiyar like adik !!!!	unknown_state
3724	 LUCIFER KI JAY  LALLETTAN POLICHU MASS  VERUM  MASSALA  MARANA MASS LOVE  YOU LALLETTAAAAA	Positive
3144	 Die hard  Mohanlal Sir Fan	not-malayalam 
2352	 Tovino Thomas katta fans  Like adiii..	unknown_state 
1834	 200 kodi clubil orapullavar like pls	unknown_state 
409	 ikka dlg delivery oru rakshayumilla ... love uuuhhhhh ikkaaaaa	Positive
1269	 Happy birthday mammukka  gana gandharvan polichadukkum next block bluster	Positive
5440	Mamangam film’il Mammootty’de character name enthannu ariyamo makkale ???  It’s Kunjali Marakar.	unknown_state
3348	 Aah last superman punch undallo... gives a goosebumpz.. ith  powlikku.	Positive
2145	 Ikka uyir aane ennullvar like adikk machaanmaree 🥰🥰	Positive
133	 Raju ettaaaa ningal Vera level	Positive
320	 Ipo 10 vattam kandu yennittum madhiyavunnilla romanjifikshan ikka	Positive
5839	happy birthday mamookaaa.  good feeel trailer	not-malayalam
6002	Njammuke ikkade MadhuraRajayude Trailarinaayi wait cheyyunnavar undenkil adicho ivide oru like	unknown_state
5184	 ഇതു തൃശൂർ slng pole.. enikk mathramanoo thonniyadh....?	unknown_state 
4169	 Unniyettan first ..jayettan fans like podu!	unknown_state 
484	 Lucifer being  3rd most viewed Malayalam trailer aayi ... After aadu 2 and bahubali	not-malayalam 
1595	 super lalettan...all d best ..fan from Karnataka	not-malayalam 
3688	 Pooran mamooty	Negative 
1343	 Iyaalkkokke cinema nirthi DQ nte makkale nokki veettil irunnoode..?	Negative 
52	 Surajettan kunjunni mash ayi abhinayichal powlikku.m	Positive
6492	Mammookka ithelum mass aayi big b il varunnund ith verum sample	Positive
6602	Adipwoli Suraj chettan soubin ikka  veendum nammal malayalikalkku  variety cinemakal tharunnathinayivariety cinemagal ishdapedunnavar  adikada like🤗🤗🤗	Positive
1133	 Mohanlal Tamilnadu fan's  like here	not-malayalam 
1050	 eth theatre allaam onn  kulukkum	Positive
5708	Kidu trailer  Ikka fans like Adi	Positive
1703	 Ntey achyaa aaa vali onnu nirthu🤣	unknown_state 
2604	 Trailer kidukki.but screen ratio kuranjath kond vallatha irritation thonnunnu	Mixed_feelings 
2428	 Wow.. Trending no 1 ... Poduda visila..adra melathai	not-malayalam 
1751	 Once a king always a king  #Raja	not-malayalam 
4417	 WAITING FOR THE NEXT BLOCKBUSTER .........	not-malayalam 
5812	Surajettan sound modulation kurach koodi nannakamayirunnu	Negative
3532	 Ejjathi ..  Item.... Lalettanum fansum pwolikmmmmm	Positive
5770	LAl ettanta   vada  enna dialogue istapettavar ivade like adicho	unknown_state
2437	 Enter perilum oru film..athum njn Canadel	unknown_state 
3719	 Ithill Tovii polikumnn ullavar ivde like adii	unknown_state 
3732	 Myru Padam. Kaanendaayirunnu. Ookkaanam vannittu vayya.	Negative 
3195	 Padam average filim mathrameyullu fansukar pokkiparayunna rasamonnum padathinnillaa	Mixed_feelings 
1782	 Lucifer Mass kuranja strogillatha trailor.madhuraraja teaser tripple strong mass.mohanlal mass look 100/100.mammoottymass look 100/100.lucifer trailorinekkal kidilan madhuraraja teaser.	unknown_state 
2463	 Ente kuttikkalathu ente nattil undayirunnu ..odiyannnn	unknown_state 
2006	 Lift il aanu helan nu manasilayavar like adikk	unknown_state 
5547	Film oru raksha illa .... adipwoli	Positive
6550	Pk Ramdas... Nammude Rajettan aanennu njn parajal nigalude abhiprayam...????	unknown_state
3607	 Mammoka polichu.  .. Onnum parayaanilla.. The king of Indian cinema Mammoka	Positive
5961	Spr makkkalla odeyan vannu katta waiting	Positive
2244	 Powlichu. Njan ipo 25 pravisham kandu. Laletta adipoli. Katta waiting	Positive
1480	 vyshak sir trailer search cheythitt kittunilla innala kittiyirinu	unknown_state 
1473	 Katta waiting....  maranamass  trailer......	Positive
5376	 സുദേവ് നായർ fans evide like addi	unknown_state 
3363	 views 462k hang aayo ennoru doubt	unknown_state 
2470	 No doubt it's gonna disaster	not-malayalam 
5291	 Prithviraj is promoting devil ? illuminati Prithviraj?	unknown_state 
4294	 Pwoli trailer  BGM vere level  Ithokke kandal mathi ithil ninne manassilakkam box office poorakkadal akum	Positive
5365	 Sprb Oridathu mammookkaaye kaanikumpol editing pishaku ozhichaaal sadhanam pwolichu	Mixed_feelings 
5831	Pulimuruga 2.0 ethakka panda lalettan vittathaaaa... Ellanne parayan pattuooo...	Mixed_feelings
125	 Thuvanathumbikalile jayakrishnane orma vannavar like adi	unknown_state 
4638	 Raju ettan nde films il kaanan pettuna athe cinematography eee trailer il kaanan sathikunnu....	Positive
3139	 Raja+ Murugan= Maduraraja Sambhavam kidukki  Waiting For re entry of mammookka	Positive
429	 Malayalathinte swandham lalettanu  all kerala dulquar salman fansinte vijayasamshagal	Positive
1495	 Varunnathu manthriyo bhadano alla rajavanu rajavu	unknown_state 
5160	 Pwoli pwoli...  Raja sollaruth mattum tha seyyum  seyyaruth mattum tha sollum	Positive
5695	Sunny chechiye malayalathil kanan vendi ea padathinu ticket edukkan pokunnavar adi like.	unknown_state
3710	 Vere level ... Onnum parayan ella....	Positive
6169	Oru doubt ithil ethu kalakhattamanu kanikhunnathu	unknown_state
4641	 Super trailor katta ikka fanaya എനിക്ക് വരെ romanjification	Positive
4238	 Enta mone ikka vere level   Lalettan fansinte abhivadyangal	Positive
46	 Feel good movie 2019 le best movie aavum ithu urappu	Positive
6707	Eee padam pwolikum..... Aah വിശ്വാസം anu eee comnt	Positive
4223	 KATTA WAITING...   LIKE CHEYYYYY	Positive
3872	 Mammootty enna name thanne mathi charithra cinimakal poyi kaanan	Positive
952	 Innu ravile vare 181k likes..ippo varum 121k likes..🤔	unknown_state 
1755	 Ikkak vinu mohan fansinte ella supportum undagumm	Positive
3004	 Ikka ningaloru sambhavamaa...   trailor thanne ethra thavana  kandittum mathiyavunnilla...   appol movie kola maranamass	Positive
1166	 Sunny chechiye kannam vanna ver like adike	unknown_state 
2086	 EVIDE YO ENTHO ORU TWIST... MANAKKUNNALLO🤔	unknown_state 
4664	 Rajave.  idhu nammal polikum ...inga avide ninno	Positive
3036	 1:34 side ill nikkunnath prithviraj alle	unknown_state 
4731	 Aaah kollam ithanalle school kuttikal... Kandalum thonnum	Mixed_feelings 
5354	 Comments vayichu romanjification kollunnavar Ivde like....	unknown_state 
1025	 Asoooya thonua ikka...  Ikkka nigalu Maass aanu	Positive
34	 Thirunavayile arenkilum undo  Trailer like cheyan marakanda	unknown_state 
897	 Prithviraj ne kandupidichavar like karo..	unknown_state 
3526	 Rajuvettan pwolichu .. ini abhinayikkan time illathavuo	Mixed_feelings 
1736	 Oru thavana kanumbozhum hype kooduvanallo Bhaghavane	Positive
4097	 Ikka    is  bled	not-malayalam 
4404	 Bahubali level Movie In Malayalam Industry... Congratulations from Tamilnadu	not-malayalam 
982	 Pirates of the Caribbean .. Peru maati ettal aalkar chilappol like adikkum..  Aale pattikkan eniyum engane nalla nalla teasers pratheekshikkunnu.	Negative 
5522	Katta waiting cheyunna alukal onn like adichee	unknown_state
4470	 Njn ikka fana pakshe njagalude Ella support um ondakum	Positive
4852	 Raja sollunathu mattuthaam seyyvaa seyyunnath mattum thaa solvaa	not-malayalam 
4010	 kalaparinju sheenicha karshakanu ini visramikkam	unknown_state 
6618	Ikka uyire.... Malayalm cinema ude abhimanyam...... Mammukka Fans Like here	Positive
4699	 Aaran manjuvintey bharthavum makalum aayittu veshamitta thaarangal? aarkkenkilum ariyamenkil parayumo pleas?	unknown_state 
5645	ellum shamikkum sunny chechiye villichu veruthi apamanichu vittathu orikkalum shamikkilla film kandavark manasilavum mosham  dialogs	Negative
4906	 Njan oru katta ettan fan Annu enkilum....ithu polikum	Positive
2147	 J'adore ce film et cet acteur	not-malayalam 
5900	Satyathil kurachum koodi standard pratheekshichirunnu. Ithu  joshi  style. Kadha ithil ninnum manasilakamallo.	Mixed_feelings
2706	 Maarkam.... Trailer kandittu bayngara expectations aanu... Movie adu keep cheyyyanam..	Positive
4094	 Onnil kuduthal tavane kandvar arokke und	unknown_state 
4234	 Eppola video song erangunnathu katta waitingaanu	unknown_state 
2041	 8.5k dislikers are bahubali people .        From Hyderabad Telangana	not-malayalam 
1004	 Viswosichu koode varunnavare jeevan koduthayalum samrakshikkum...	unknown_state 
3230	 Gangster vannu thakarthu ini monsterinte oozham #L	Positive
802	 Cinema kandit vann trailer kanunavar aaroke	unknown_state 
1283	 Hindi movie (old  Darmki dese remek	not-malayalam 
4430	 Ithoke ikkane kondallathe aare komdu pettum	Positive
1637	 Kidukki.. MAMMOOKKA... KATTA WAITING... VYSHAKH SIR... HAT'S OFF U	Positive
1584	 Pwoli pwoli ee prayathilum enta amoooikkaaaa	Positive
1008	 Sidhikinte katta roll njan maathranoo shradhichath.....	unknown_state 
2612	 Prithviraj sukumaran  fans come here	unknown_state 
225	 Kalathu ezhunnettu ee trailer kanumbol oru unmesham kittunnudu	Positive
6300	2.5m views and 200k likes soon!!	not-malayalam
168	 E padam hit akum enn urapullavar like adikan ulla sthalam🥰🥰🥰	Positive
2904	 Eee trailerinu dislike adikaaanum oru range okke venam 🤦‍ kashttam  Luv u ikka	Negative 
5851	302k likes...yeeeeeee....I will dance....kuuuu...koooo...vineethetan sound vivek oberoi...	Positive
5261	 What making      #rajuettan	not-malayalam 
3347	 Ejjati item ##Derick ikka katta waitingz ##Bgm 100%##	Positive
1968	 Eattavum miss cheyyunnathu prithviraj	Mixed_feelings 
2236	 Abudabi delma malil vannavar like adiku	unknown_state 
1227	 Dear Mammookka	Positive
5091	 Trailer nalla iruku ...kandipa Padam pakanum	not-malayalam 
430	 Endo aa dilouge delivery endo pole..	Mixed_feelings 
1560	 Dis like adichavar aaro avar... onnum parayunnilla	Mixed_feelings 
2802	 100 kodi clubil kayariyathinu shesham arokke vannu	Positive
2993	 Njagaloke  kandittum verukanilalo  eatta Only reason   LAKETTAN	unknown_state 
2899	 LalettaN Poli 2 kg Potherachi Vangi Veetil Ponam🤩ഇട്ടിച്ചൻ	Positive
555	 Avasanam oru superman puchu ude  mamukka powlikum  kude madura rajayum	Positive
24	 Mammooka fan - kannadiga from Dubai	not-malayalam 
5226	 Ikka fans like button neela aakkeett poya mathi	unknown_state 
3216	 padam ennum kandu  eppazum kannan thonunna padam	Positive
4011	 pulimurugan style aakan vazhi und.. palayidathum athe colour tone kanam.... enkilum vaishakilum ikkayilum oru pretheeksha	Mixed_feelings 
6164	2019 sep 22.  ippozhum vannu kanunnavar vannu like adichechum poykko	unknown_state
98	 Oru BIGB  feel....  ..aiivaaaaa.  Pwolichuu	Positive
1843	 Vada..  ithu kettu romancham vannavarku likenulla coment	unknown_state 
706	 Padathil animation undenn paranjappo ethreem karutheela   Ikka super	Positive
2229	 Thokk	Mixed_feelings 
624	 Duper hit aavatte  Mammookka	Positive
5420	Eattan fanzz koode ind...ninga polikk ikkkaaaa	Positive
2998	 30 min 400k view adichu makkale🤩🤩🤩	Positive
1285	 0.50 athu nammude Marimayam Unni alle?	unknown_state 
3738	 Mammookkaaaa love uuuuu ingal poliyanuuuuuu 68 alla ingakk  34 aanuuuuuu	Positive
942	 Madhura Raja ....Pokkiri Raja....Rajadhi Raja...Bellaadi Raja Raja Always Mammookka Da	Positive
5628	ikka kalakki super kidiloski trailer raja theatre poora parambu aakum	Positive
6632	1:22 entammo ijjathi mass scenes edukkan prithvirajine konde pattathullu	Positive
1102	 Nalla kidilan trailer. nalla oru family entertainer aanenu thonnunu	Positive
5214	 BGM     Ikka pwolikk.....	Positive
3630	 Thallu vidunna moopanu pakaram appan  Daddy girija  Peter hein fight ( parannadi) Pulikk pakaram patti  Pinne mainayum same costume (Anushree)  .	Negative 
5208	 Ijjadi mass sadanam ഇക്ക നിങ്ങ poliyaan inippo kurupottichond കൊറേ mairanmar വരും	Negative 
6611	Njan ikka fan aa	Positive
6333	Empuraan katta waiting cheyyunnavar like adich pokuka	unknown_state
4224	 Njan matramanoo trailer il prithviraj ne kandanthu. . . .  Kandavar like adiche..	unknown_state 
3831	 Njan Ettan fana ennaalum paraya e padam polikkum	Positive
3163	 See mamangam narrating by mammookka its fabulous this i just feel like   Olu abdunte penna....nta penna	not-malayalam 
6580	veendum veendum kooduthal praavashyam kaanunnavar undoo?	unknown_state
5710	Semma trailer  Lalettan mass🤘... frm TN.	not-malayalam
4360	 50 k likes in 40 minutes	not-malayalam 
4619	 Ith pwolikumenn urapulla ikka fans like adi	unknown_state 
4225	 Camera work kolam Bgm set onum athra pora	Mixed_feelings 
4118	 Trailer pole naalla story undayal mathiyarinu	Positive
2258	 യൂട്യൂബ് hang doii ettan mess ആണ് mone	unknown_state 
2726	 ALL THE  BEST LALETTAN & TEAM.........	not-malayalam 
6380	Megastar Mammootty M padmakumar Mamangam Malayalam Moovie	not-malayalam
4173	 Wow from tamil nadu sarey kola massu	not-malayalam 
188	 Dislike adichavarokke  ith okke kanditt engane dislike adikkaan saadhikunnu uvve	unknown_state 
2400	 Man oh man!!!!!! Goosebumps lal sir!!!!!	not-malayalam 
3860	 Trailer kandapo oru karyam urapichu #LAD	unknown_state 
5212	 Ith polikkum enn thonnunna ikka fans like adi	unknown_state 
348	 ithu oru 5 million views aakkanam..	unknown_state 
6140	Ikka fans	unknown_state
2637	 Trailer KOLLAM KOLAMASS ... PAKSHE  KAANAN ORU SUKAM ILLA.... VELUTHAKANAMAAYIRUNNU	Mixed_feelings 
150	 2n part or kuch related kahani nxt hota acha lagta fans ko	not-malayalam 
2897	 Nalla trailer filimum athu pole aakum ennu pradheeshikkunnu	Positive
5059	 All Kerala sunny chechi fans Adi like evide	unknown_state 
3643	 Voiceatokke ikka kasargod muthal tirupanantapuram vare	unknown_state 
60	 Ithu kidukkum	Positive
2206	 Lalettan fan from Hyderabad love Lal sir	not-malayalam 
4661	 0:40 scene cinimayil Indo kanda orma illya	unknown_state 
191	 Movide peru kandu dislike adikaan vannatha	Positive
6554	Than ketto? Anna benn fans like adi	unknown_state
4229	 Evde Asif Ali Evde... Kandavar indo?	unknown_state 
4777	 Innevare kandattillatha vere level item .	Positive
1118	 Ithano trailer oru dialogue polum illa ekkaude. Ullath kurach perum oru vettum	Negative 
6173	Ethil vann dislike adikkunna makalkku epo thane kuru potti thudangiyalo	Negative
2967	 ikka.......Trailer powli..  frm A10 fan	Positive
28	 Trailer kande oru pidium illatha aralum	unknown_state 
1494	 Trailerin otta kurappama ullu njankluda ikkayuda face kandela	Mixed_feelings 
552	 Mass trailer... Lalettaaaaa oru rakshayumilla. Pwolichu... Lalettan muthaanu... Prithvi sarikum njettichu. Lalettan+prithvi=Lucifer(blockbuster )... Lalettan ishtam	Positive
3261	 Ikkayude Sound Mathram mathy FDFS urappikan	Positive
5644	Padam irangi Innum trailer kandu Most trusted trailer Biggest block buster 100 CRORE RAAJA	Positive
3122	 Trailer varumboyekkum ethu naayinte makkalaa dislike adikene	unknown_state 
5342	 Wow... Kathirippinte Sugam Arinjathu Ippolanu......🥰  Ikka thandaaa RAJAA.... Powliyanu...Mass allaaa...kola mass aaanu.......🥰🥰🥰🥰🥰🥰🤩🤩🥰🥰🥰🥰	Positive
3234	 This is gonna be an epic Mammookka	not-malayalam 
6069	Pinneyum pinneyum trailer kaanan thoonnu enikke ningalkko?	unknown_state
5203	 E mothalin 68 age und en parnja AR vishvasikunth	unknown_state 
937	 3 million viewers hit like lalettan fans	unknown_state 
6461	Exam kazhiyatte makkale... enikkum onnu armandukkanam..oh..	Positive
2840	 Suraj ettan vere level...  1:01  Soubin ikka pwolikkum 0:33	Positive
2676	 Ettante nayikayaitt a peratta hani roseineyallathe vere areyum kittiyille nayanthara mathiyayirunnu nayikayai	Negative 
3008	 padam vere level aanu  big B ye kaalum mass aanu	Positive
5461	Ithu pokkiri raja 2 aano atho pulimurugan 2 aanoenthayalum massAll the Best Ikka and team	Mixed_feelings
5054	 Njn oru Lalettan fan aanu annalum trailer nu waiting aane	Positive
256	 Ee padam kand chirich pandaram adangi	Positive
1808	 Trailer Kandal ariyam super hit aakum	Positive
2039	 Kandappo  oru  kuliru  keri  mone🤗.  Ningalkkum  vannengil  like  here	Positive
3632	 Cinemakal koodumthorum age kuranju varuvanalloo.. Kidu look..  HBD IKKA	Positive
678	 Polichu trailer by suriya fan padam polikum	Positive
1345	 Suraj ettan powli..koode soubin ekka...pine paryano ....katta Waiting anee	Positive
2724	 Earangunnathinu munb dislike adich moonjikkaan koreu ennam earangiyittund	Negative 
6213	3 times continue kandavar onnu ivde vanne..nedumplly rock	Positive
603	 Superb trailer I have ever seen.	not-malayalam 
1073	 All Kerala mammooty fans anangill ADI ORU like	unknown_state 
5412	191 k likes 118 aayallo.. ithenthu marimayaam ...lalapikkal ude kali aano	Negative
3840	 kure naalu koodiya oru mammookka trailer kaandu santhosham thonunnathu.	Positive
364	 pora	Negative 
4300	 Annum Innum Ikkayude Bthday nnu vachal nammal malayalikal ellarum oru atbudama...   Vayasulpade tettate malayalikal parayan  Matethu nadanundu inganoru pretyekata  #Ikka	Positive
671	 Eth kandappooll prithvi rajinee ormavannavar like adiii	unknown_state 
2743	 Tamils always like mammooty as like lalettan	not-malayalam 
5978	Mamangam trailor kamdu madhivarathavr like adi🥰🥰	unknown_state
4391	 Adi kapyare koottamani.....box office chattu....mammooka konnu....	Positive
4068	 Malaya cinema abhimanikkunnu ingane oru nadane kittyathil.....Wish u a very swt & hpy bthday mammooka 🥡🥡	Positive
3283	 Enthaayalum haters nu rosham theerkkan oru dislike button indayath nannayi..keedangal	Negative 
2745	 ONKV ood neeraliii kandam vazhiii Ikka marana mass	Negative 
5593	Padam polikkum. Ikka marana mass	Positive
2841	 Mamangam Vismayathinu 5 naalukal mathram Katta waiting	Positive
1385	 Kanunnathinu munpe dislukke like adichaa ellaa malavangalkkum ente naduviral namaskaram	Negative 
3141	 Eee trailer trendingil thanne nilkanam. Orupadu alukalilek ee trailer ethicheranam	unknown_state 
1842	 Entirely different dileep etta   A10 okke kanunundallo alle	unknown_state 
1892	 Surajinu ee vesham okkea kodukaathe..athraku prayam onnumilla ee manusysnu..	Mixed_feelings 
4334	 Realistic thanne porallo namukk Edakk mass varatte  Tovi	unknown_state 
1641	 Ithil love reaction button indaarrnneeel njekkittt pottikkaaarrnnn	Positive
3944	 Trailer il thanne full story undallo! Padam kidilan aakatte🤓	Positive
3980	 00:57 Prathviraj As SAYEED QURESHI. E...................	not-malayalam 
4880	 Oru ADAR Trailer  Ikkante look polichu .	Positive
5920	Nalla trailer thann njangale patichule  vendayirunnu moshamayi ikka fansine tholpichu	Positive
6329	Aa 1.3K dislike adicha naarikal aaranne ivdareyem PARANJE padippikanda kaaryamillallo le?	Negative
5669	രാജ  trailer first കണ്ടവർ like.	unknown_state
6562	Eth pwolikum .....the complete actor lalettaaaaaaa ....katta waiting for lucifer enna look aa nmle lalettaaa	Positive
559	 Trailer kand chiri vannavar ivide like adi	unknown_state 
1688	 Surajettan &  soubinkka   powli combo	Positive
368	 then : kanji adukkatte manikya       now : Kill that bastard    sivane! :/	unknown_state 
597	 Iam from  punjab.. & Iam big fan of mohanlal	not-malayalam 
5112	 192 k views 198 k like         Adipoli ba poka..	unknown_state 
5866	Padam kandathinu sheshavum treiler kaanunnavar undo...bell the botton	unknown_state
3701	 Ithippo enthinulla purappadanavo randalum koodi Suraj  Soubi	Positive
1011	 Ee haters vann dislike adichalum 240k like und makkale..	Negative 
5398	Poojappura laalunni fans dislike adichu kuru potichitund	Negative
165	 Suraj ettan fans fans like ivide	Positive
3638	 Gunddaa rashtriyum.... Swandammmm raksthasakshikkaleaa enddakorkkk kaananddaa padam	unknown_state 
1349	 Ikkayude johny walker ormma varunnuu vere level	Positive
1428	 Kidukkachi  laletta ningal mass alla kolamassanu	Positive
5734	Kidilan trailer... All da best lalettan.  By a Mammukka fan...	Positive
3424	 Best actor pole mattoru kidu  movie  akate ee best singer..	Positive
6514	Katta wtng... !!! The Himalayan kwid  Mamoomkkaa	Positive
5086	 ഇത് film ആണോ real ആണോ  Mammukka pwoli	Positive
2282	 Avasanam kanicha kurache seconds scenes kande FDFS urappichavar aarokkee	Positive
4421	 Guest appearenceil enkilm rajuettan ondaya matiyarnu	unknown_state 
262	 Fight vere level teateril paper kure keerendi varum ichayoooo	Positive
1336	 Idvere vere chilar parannadaaannn muruga nee theernnada ennn ..ini nangal mammookka fans sherikkum parayunnnu .....MURUGAAA ....NEE THEERNNADA .IKKA LOVE	Positive
3649	 Last oottam kanddo makkale onnum parayaan illa aaa face lle mattam anergy uff powlikkum ikkaaa	Positive
3538	 Super movie ella arum kananam   Suraj robo  combinations kalakki  Vathyasthamaya oru anubhavam	Positive
3562	 ee video onnu kandu support chaiuka	Positive
6735	Nasik doll tiltle bgm aane highlight	unknown_state
4241	 Sunny chechiye kanan Vannavarkke like adikanulla cmnt	Positive
111	 Adh suraj aanenn sound kett maathram kandpidichavar adi like..	unknown_state 
3288	 Trailer kandittt ith oru puthiya anubavam aayirikkum a new kazhcha in Malayalam movie	Positive
4859	 Arokke nthokke paranjalum ikka njngade swanthon njngalk 100 kodeem 200 kodeem onm vnda	Positive
882	 Vivek Oberoikku best villainte award koduthillengilanu!	unknown_state 
2299	 Coment vayichitu film kanan trill adichu nilkunnavar undel like adiku matanmare	unknown_state 
1556	 30 pravashyathin melil kanda alkar ivide like	unknown_state 
1505	 laletta polliku full support annu	Positive
2758	 10M aayonnu idaykk nokkan varunnavarkku ivide like adikkam	Positive
3371	 All the best mammukka from Karnataka fans	not-malayalam 
4617	 Support from ettan fan.... Ikka mwth aanu ....	Positive
